x,y,Number,Name,VolPrt
417436.55,278700.0422,109380,,5194.430551
404489.0095,295001.4075,109630,,5191.070484
403828.6349,294762.7085,102834,Update due to Merge Coding,5191.070484
403918.1462,294776.8147,109650,M6 Junction 8 Southbound,5191.070484
399098.0825,299060.6713,107372,Update due to Merge Coding,5179.553987
396832.4185,303503.3698,107811,M6 J10a Diverge,5179.553987
399094.6938,299169.2833,109645,M6 Junction 10 Northbound,5179.553987
438817.5894,277878.7054,115442,,5178.339097
436619.4706,275831.4553,106567,Coventry Eastern By pass,5170.068226
438614.7204,277415.4728,1000201,,5170.068226
436666.7891,275869.34,1000220,,5170.068226
439195.9364,281408.4485,107787,M6 J2 Diverge M69 North,5162.547555
439054.0476,280910.8267,1000009,,5162.547555
439080.9068,281001.3885,1000038,,5162.547555
447166.991,241829.4047,104710,,5153.220505
431846.1721,273183.663,108343,Kenilworth By Pass off slip,5147.356953
495904.8898,237380.0986,105019,,5134.769292
417208.4837,314343.8327,103853,,5131.090671
400168.9548,296397.7205,109373,,5119.587213
368754.5939,309996.1634,100802,,5119.165889
409087.7752,290693.4884,106017,Update due to Merge Coding,5108.510793
405177.4147,294874.5129,107001,M6 J7,5108.510793
409041.8605,290774.7266,109652,M6 Junction 6 Northbound,5108.510793
430172.2979,270732.7866,108193,Kenilworth By Pass On Slip,5082.663606
407430.8208,285200.2027,103200,Horton Sq/Belgrave/Longmore St,5071.936506
